GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.model,Admin.AdminBuilderImpl,0,7,0,0,0,1,0,2,0,2
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.model,SemesterDiscriminatedEntity,35,68,12,8,2,6,13,7,3,7
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.model,Employer.EmployerBuilder,24,39,0,0,0,1,2,7,2,7
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.model,Contract.ContractBuilder,26,101,0,2,0,1,1,15,1,14
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.model,Interview.InterviewBuilder,14,72,0,0,0,1,1,8,1,8
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.dao,SemesterRepository,6,3,0,0,2,1,1,1,1,1
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.dao,InternshipOfferRepository,13,0,0,0,3,0,3,0,3,0
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.dao,StudentRepository,6,0,0,0,1,0,1,0,1,0
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.dao,SemesterAspect,0,23,0,2,0,6,0,3,0,2
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.dao,ResumeRepository,4,0,0,0,1,0,1,0,1,0
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.controller,StudentController,0,49,0,0,0,13,0,7,0,7
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.controller,SecurityDemoController,0,7,0,0,0,3,0,3,0,3
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.controller,AuthenticationController,0,35,0,4,0,10,0,6,0,3
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.controller,ContractGenerationController,0,30,0,2,0,6,0,4,0,3
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.controller,ReportsController,66,6,0,0,11,3,11,1,11,1
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.controller,ResumeController,0,65,0,0,0,17,0,9,0,9
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.controller,InternEvaluationController,0,31,0,0,0,10,0,5,0,5
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.controller,InterviewController,0,66,0,0,0,17,0,9,0,9
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.controller,StudentApplicationController,4,58,0,0,1,14,1,7,1,7
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.controller,BusinessEvaluationController,0,31,0,0,0,10,0,5,0,5
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.controller,EmployerController,0,49,0,0,0,13,0,7,0,7
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.controller,SemesterController,0,22,0,2,0,8,0,4,0,3
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.controller,AdminController,51,6,0,0,10,3,7,1,7,1
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.controller,NotificationController,9,6,0,0,2,3,1,1,1,1
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.controller,InternshipOfferController,0,87,0,0,0,22,0,12,0,12
The Ultimate Internship Manager Software Platform For College And University Plus Powered By Java,com.power222.tuimspfcauppbj.controller,ContractController,0,36,0,0,0,11,0,6,0,6
